,count_pos_tweets,count_neg_tweets,ratio_pos_tweets,average_lenContent,average_replyCount,average_retweetCount,average_likeCount,average_quoteCount,average_followerCount,average_friendCount,average_pos,average_neu,average_neg,average_compound,count_all,count_hasLinks,count_hasMedia,count_isRetweeted,count_isQuoted,count_hasHashtags,count_verified
2020-04-23,81.0,41.0,0.6639344262295082,235.15441176470588,21.63235294117647,94.15441176470588,304.2867647058824,8.198529411764707,628379.0367647059,3219.669117647059,0.15464705882352942,0.7462205882352942,0.09909558823529412,0.15268529411764703,136.0,31.0,56.0,0.0,14.0,62.0,0.0
2020-04-24,77.0,43.0,0.6416666666666667,237.6304347826087,31.57246376811594,86.1086956521739,376.4130434782609,10.072463768115941,217102.35507246378,2626.0797101449275,0.15650000000000008,0.735485507246377,0.10803623188405799,0.12926884057971025,138.0,26.0,76.0,0.0,10.0,91.0,0.0
2020-04-25,80.0,48.0,0.625,232.65540540540542,35.763513513513516,168.83783783783784,572.0202702702703,14.695945945945946,438153.49324324325,3864.5135135135133,0.16910810810810809,0.7372297297297296,0.0936621621621622,0.18052635135135137,148.0,22.0,71.0,0.0,7.0,86.0,0.0
2020-04-26,43.0,28.0,0.6056338028169014,226.7283950617284,26.37037037037037,89.04938271604938,339.8024691358025,9.679012345679013,475887.72839506174,5387.83950617284,0.17439506172839506,0.7179876543209877,0.10759259259259259,0.12007530864197531,81.0,23.0,26.0,0.0,13.0,43.0,0.0
2020-04-27,71.0,57.0,0.5546875,237.08275862068965,52.351724137931036,141.68275862068967,424.2,19.93103448275862,411894.22068965517,3179.6827586206896,0.1573862068965517,0.7193034482758621,0.12326896551724133,0.06756896551724141,145.0,41.0,69.0,0.0,6.0,87.0,0.0
2020-04-28,71.0,49.0,0.5916666666666667,236.3357142857143,34.91428571428571,99.84285714285714,456.6142857142857,8.721428571428572,517565.0571428572,5513.307142857143,0.14554999999999996,0.753378571428572,0.10108571428571428,0.11194714285714283,140.0,27.0,59.0,0.0,11.0,84.0,0.0
2020-04-29,65.0,29.0,0.6914893617021277,232.52293577981652,31.98165137614679,97.03669724770643,547.2660550458716,7.871559633027523,579758.0091743119,4325.357798165138,0.1601467889908257,0.7512752293577982,0.08855045871559634,0.1910605504587156,109.0,30.0,44.0,0.0,11.0,62.0,0.0
2020-04-30,64.0,52.0,0.5517241379310345,231.62222222222223,39.75555555555555,201.26666666666668,514.3185185185185,26.607407407407408,343832.8888888889,2918.9851851851854,0.13674814814814812,0.7477481481481482,0.1154962962962963,0.038365925925925935,135.0,33.0,45.0,0.0,18.0,77.0,0.0
2020-05-01,94.0,59.0,0.6143790849673203,223.63350785340313,26.094240837696336,96.48167539267016,368.5445026178011,11.910994764397905,461760.77486910997,4187.942408376964,0.14382722513089002,0.7580314136125659,0.0981361256544503,0.11064031413612561,191.0,41.0,91.0,0.0,19.0,117.0,0.0
2020-05-02,59.0,43.0,0.5784313725490197,231.23529411764707,43.470588235294116,157.1344537815126,495.26050420168065,18.277310924369747,358636.18487394956,5178.63025210084,0.164,0.7313865546218489,0.10459663865546216,0.13667142857142864,119.0,31.0,51.0,0.0,7.0,74.0,0.0
